year,country_name,gdp_per_capita_2015_dollar,physicians_per_1000,hospital_beds_per_1000,crop_production_index,life_expectancy_at_birth,total_fertility_rate
1997,Germany,32313.29707,3.139,9.399999619,88.71,77.07317073,1.35
1997,Poland,6348.841217,2.373,5.400000095,100.69,72.64634146,1.51
1997,Nigeria,1457.227896,0.23600000000000002,1.3404600048,59.36,45.792,6.138
1997,Kenya,1214.847642,0.13371428571428573,1.7946666616666667,53.37,54.816,5.26
1997,United Kingdom,35347.76354,1.855,4.599999905,100.96,77.21097561,1.72
1997,China,1787.766977,1.216,2.549999952,54.75,70.672,1.527
1997,Japan,31276.19308,1.8655,15.10000038,121.48,80.42414634,1.39
1998,Argentina,11391.94516,3.003,3.6949999809999996,61.75,73.474,2.662
1998,Brazil,6613.983181,1.267,2.9449999475,49.63,69.189,2.409
1998,France,31633.14775,3.355,8.399999619,103.3,78.60487805,1.78
1998,Germany,32959.07357,3.182,9.300000191,92.38,77.47560976,1.36
1998,Poland,6641.085312,2.347,5.300000191,113.63,72.99756098,1.44
1998,Nigeria,1457.70111,0.247,1.2936400032,61.1,46.036,6.069
1998,Kenya,1221.524316,0.1345714285714286,1.8157333293333333,62.78,54.526,5.246
1998,United Kingdom,36448.26422,1.899,4.400000095,97.39,77.1902439,1.71
1998,China,1909.622328,1.214,2.529999971,56.45,71.172,1.522
1998,Japan,30795.08889,1.89,15.0,111.93,80.50146341,1.38
1999,Argentina,10880.20621,3.0847,3.8974999904999996,59.74,73.722,2.643
1999,Brazil,6551.226671,1.364,2.86249997375,52.84,69.524,2.331
1999,France,32546.93405,3.355,8.300000191,106.61,78.75609756,1.81
1999,Germany,33559.39937,3.217,9.199999809,96.44,77.72682927,1.36
1999,Poland,6950.797735,2.282,5.099999905,100.52,73.04390244,1.37
1999,Nigeria,1429.405592,0.258,1.2468200016,63.76,46.614,6.082
1999,Kenya,1215.163924,0.13542857142857143,1.836799997,62.19,54.495,5.181
1999,United Kingdom,37440.79406,1.913,4.199999809,99.81,77.3902439,1.68
1999,China,2038.206474,1.244,2.519999981,58.43,71.419,1.53
1999,Japan,30636.26612,1.9125,14.80000019,115.01,80.46097561,1.34
2000,Argentina,10672.72204,3.1664,4.1,60.89,73.926,2.591
2000,Brazil,6745.857771,1.4039166666666667,2.78,53.96,69.737,2.255
2000,France,33592.46683,3.375,8.25,103.98,79.05609756,1.89
2000,Germany,34490.07577,3.272,9.19,101.29,77.92682927,1.38
2000,Poland,7344.120761,2.208,4.900000095,101.87,73.74878049,1.37
