Time,Time Code,Country Name,Country Code,"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]",GDP (constant 2015 US$) [NY.GDP.MKTP.KD],GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Physicians (per 1,000 people) [SH.MED.PHYS.ZS]","Hospital beds (per 1,000 people) [SH.MED.BEDS.ZS]",Arable land (hectares per person) [AG.LND.ARBL.HA.PC],Consumer price index (2010 = 100) [FP.CPI.TOTL],Crop production index (2014-2016 = 100) [AG.PRD.CROP.XD],Food production index (2014-2016 = 100) [AG.PRD.FOOD.XD],Households and NPISHs final consumption expenditure (% of GDP) [NE.CON.PRVT.ZS],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative) [SE.TER.CUAT.BA.ZS]","Labor force participation rate, female (% of female population ages 15+) (national estimate) [SL.TLF.CACT.FE.NE.ZS]","Children in employment, total (% of children ages 7-14) [SL.TLF.0714.ZS]"
1977,YR1977,Brazil,BRA,4.267,6.41E+11,5626.716996,4.93432807,,,0.345015265,,28.73,24.64,69.09290415,60.24,85,108.3,,,
1977,YR1977,France,FRA,1.94,1.19E+12,21925.8324,3.464312004,1.6,10.80000019,0.318413261,28.20394781,74.38,82.57,54.42183523,73.35121951,11.4,13.9,,,
1977,YR1977,Germany,DEU,1.4,1.71E+12,21880.80763,3.34721812,,,0.154439979,46.30244598,84.6,90.93,58.37772564,72.30731707,15.5,18.3,,,
1977,YR1977,Poland,POL,2.23,,,,1.7,,0.424889122,0.026111067,116.12,109.04,,70.40243902,23.1,26.2,,,
1977,YR1977,Nigeria,NGA,6.862,1.53E+11,2300.766886,6.02411785,,,0.390961629,0.270899325,21.55,21.6,,45.558,135.1,228.7,,,
1977,YR1977,Kenya,KEN,7.803,16814892774,1153.494798,9.453797844,,,0.260678453,1.924430729,24.91,28.19,55.64815313,56.486,77,122.2,,,
1977,YR1977,United Kingdom,GBR,1.69,1.25E+12,22258.81983,2.457750517,1.2,,0.123163729,23.24620215,75.76,86.07,65.46742919,73.22439024,14.1,16.4,,,
1977,YR1977,China,CHN,2.844,3.27E+11,346.939156,7.570000001,1.03,2.069999933,0.102407287,,23.92,19.17,50.70153846,62.538,54.7,74.4,,,
1977,YR1977,Japan,JPN,1.8,1.98E+12,17370.61655,4.39033795,1.2,,0.043127371,66.2491473,143.91,102.37,50.39583727,75.25585366,8.8,11.8,,46.6,
1978,YR1978,Argentina,ARG,3.359,2.57E+11,9476.063436,-4.506124802,,,0.925030873,,33.19,47.93,58.14078402,68.197,43.6,51.2,,29.39,
1978,YR1978,Brazil,BRA,4.195,6.73E+11,5768.426216,4.969897689,,,0.360487059,,27.48,24.42,68.7390209,60.72,82.2,104.4,,,
1978,YR1978,France,FRA,1.89,1.24E+12,22687.61151,3.978543722,1.7,10.89999962,0.318484343,30.81297049,84.58,88.96,54.09160796,73.60243902,10.9,13.4,,,
1978,YR1978,Germany,DEU,1.38,1.76E+12,22558.71479,3.008492857,,,0.15476653,47.56126917,88.1,94.62,57.79839177,72.29041463,14.4,17.1,,,
1978,YR1978,Poland,POL,2.21,,,,1.7,,0.420670602,0.028226394,129.23,117.97,,70.35121951,22.4,25.4,,58.7,
