year,country_name,total_fertility_rate,child_mortality_rate,food_production_index,percent_of_household_expenditure_in_gdp,gdp_per_capita_2015_dollar,physicians_per_1000
1999,Germany,1.36,5.5,92.66,56.19724396,33559.39937,3.217
1999,Poland,1.37,10.0,94.11,62.63413043,6950.797735,2.282
1999,Nigeria,6.082,187.9,64.06,,1429.405592,
1999,Kenya,5.181,100.3,62.02,78.58002959,1215.163924,
1999,United Kingdom,1.68,6.7,97.87,66.49770716,37440.79406,1.913
1999,China,1.53,39.1,60.65,46.20561664,2038.206474,1.244
1999,Japan,1.34,4.7,102.63,54.09736476,30636.26612,
2000,Argentina,2.591,19.4,69.14,69.3320118,10672.72204,
2000,Brazil,2.255,34.6,56.86,64.59270034,6745.857771,
2000,France,1.89,5.4,103.54,53.85737039,33592.46683,3.375
2000,Germany,1.38,5.4,93.72,56.29925703,34490.07577,3.272
2000,Poland,1.37,9.3,93.24,63.83698761,7344.120761,2.208
2000,Nigeria,6.124,182.5,64.5,,1462.535997,0.269
2000,Kenya,5.137,96.1,58.55,78.29077157,1187.32581,
2000,United Kingdom,1.64,6.5,95.57,66.14250985,38918.45506,1.994
2000,China,1.628,36.7,63.37,46.73235842,2193.896866,1.268
2000,Japan,1.36,4.5,101.97,53.66877113,31430.63113,1.935
2001,Argentina,2.531,18.8,69.29,68.91198431,10090.65344,3.2481
2001,Brazil,2.183,32.4,59.51,64.10770837,6749.881603,
2001,France,1.9,5.3,99.36,54.12079053,34009.8624,3.408
2001,Germany,1.35,5.2,94.16,56.46404669,35011.06846,3.327
2001,Poland,1.31,8.8,94.16,64.60933941,7438.603435,2.243
2001,Nigeria,6.139,177.0,64.33,,1508.55359,
2001,Kenya,5.091,91.2,66.11,79.57030879,1195.443778,
2001,United Kingdom,1.63,6.4,88.34,66.16646381,39768.66635,2.043
2001,China,1.563,34.1,64.45,45.51980966,2359.572385,1.287
2001,Japan,1.33,4.3,99.95,54.42205916,31476.05207,
2002,Argentina,2.493,18.4,68.91,61.89842386,8895.319642,
2002,Brazil,2.103,30.3,63.61,61.89843503,6868.695907,
